Aaron Eckhart
Adam Brody
Adam McKay
Adam Sandler
Adrien Brody
Al Pacino
Alan Alda
Alan Arkin
Alan Rickman
Alec Baldwin
Alexander Skarsgård
Alfred Molina
Amaury Nolasco
Andy Garcia
Andy Richter
Andy Serkis
Anthony Hopkins
Anthony Stewart
Antonio Banderas
Arnold Schwarzenegger
Arnold Vosloo
Ashton Kutcher
Ben Affleck
Ben Kingsley
Ben McKenzie
Ben Stiller
Benicio Del
Bernard Hill
Bernie Mac
Bill Cosby
Bill Hader
Bill Murray
Bill Nighy
Billy Bob
Billy Boyd
Billy Burke
Billy Zane
Brad Garrett
Brad Pitt
Bradley Cooper
Brendan Fraser
Bruce Greenwood
Bruce Willis
Burt Reynolds
Cam Gigandet
Cary Elwes
Casey Affleck
Channing Tatum
Charlie Day
Charlie Sheen
Chazz Palminteri
Chris Evans
Chris Kattan
Chris Klein
Chris Noth
Chris Rock
Christian Bale
Christian Slater
Christopher Lloyd
Christopher Reeve
Clint Eastwood
Clive Owen
Colin Farrell
Colin Firth
Colin Hanks
Dan Lauria
Daniel Craig
Daniel Day-Lewis
Daniel Radcliffe
Danny Glover
Danny Masterson
Danny Trejo
David Boreanaz
David Cross
David Duchovny
David Schwimmer
David Wenham
Dean Cain
Denzel Washington
Dermot Mulroney
Desmond Harrington
Diego Luna
Dominic Monaghan
Don Cheadle
Dustin Hoffman
Dwayne Johnson
Ed Harris
Edi Gathegi
Elijah Wood
Emile Hirsch
Eric Dane
Ethan Hawke
Ewan McGregor
Freddy Prinze
Freddy Rodríguez
Gabriel Macht
Gary Dourdan
Gary Oldman
Gene Hackman
Geoffrey Rush
George Clooney
George Lopez
Gerard Butler
Giovanni Ribisi
Hal Holbrook
Hank Azaria
Harrison Ford
Harry Connick
Hayden Christensen
Heath Ledger
Hector Elizondo
Hugh Grant
Hugh Jackman
Hugo Weaving
Ian Holm
Ian McKellen
Ioan Gruffudd
J.K. Simmons
Jack Nicholson
Jackie Chan
Jackson Rathbone
Jaden Smith
Jake Gyllenhaal
Jake Weber
James Brolin
James Frain
James Franco
James Marsden
James McAvoy
James Remar
Jamie Foxx
Jared Padalecki
Jason Bateman
Jason Behr
Jason Biggs
Jason Lee
Jason Statham
Jason Sudeikis
Jay Baruchel
Jean Reno
Jean-Claude Van
Jeffrey Tambor
Jensen Ackles
Jeremy Irons
Jeremy Sisto
Jerry Seinfeld
Jesse Eisenberg
Jet Li
Jim Beaver
Jim Carrey
Jim Caviezel
Jimmy Fallon
Joaquin Phoenix
Joe Manganiello
Joe Pantoliano
John Cleese
John Cusack
John Krasinski
John Malkovich
John Noble
John Travolta
Johnny Depp
Jon Hamm
Jon Voight
Jonah Hill
Jonathan Rhys
Jonathan Sadowski
Josh Brolin
Josh Duhamel
Josh Hartnett
Joshua Jackson
Jude Law
Justin Long
Justin Timberlake
Kal Penn
Karl Urban
Keanu Reeves
Kellan Lutz
Ken Watanabe
Kerr Smith
Kevin Bacon
Kevin Connolly
Kevin Costner
Kevin McKidd
Kiefer Sutherland
Kit Harington
Kris Kristofferson
Laurence Fishburne
Leonardo DiCaprio
Leslie Neilsen
Liev Schreiber
Luke Wilson
Mark Ruffalo
Mark Wahlberg
Martin Henderson
Martin Lawrence
Martin Sheen
Matt Czuchry
Matt Damon
Matt Dillon
Matt LeBlanc
Matt Long
Matthew Broderick
Matthew Gray
Matthew Lillard
Matthew McConaughey
Matthew Perry
Mel Gibson
Michael Douglas
Michael Landes
Michael Vartan
Michael Weatherly
Mike Myers
Milo Ventimiglia
Misha Collins
Neal McDonough
